cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
14375,-34.23990,-18.97289,-15.26701,-6.51045,-8.17247,-0.58409,0.9479,-72.35,-0.0750,29.94,3.89,0.488,0.506,0.093,0.0104,0.0500
14400,-34.23421,-18.97492,-15.25928,-6.48299,-8.20033,-0.57597,0.9439,17.71,0.0184,30.02,4.05,0.488,0.506,0.093,0.0104,0.0500
14425,-34.24539,-18.96997,-15.27542,-6.49292,-8.22006,-0.56245,0.9454,17.63,0.0183,29.75,4.05,0.488,0.506,0.093,0.0104,0.0500
14450,-34.26840,-19.00053,-15.26787,-6.50648,-8.18963,-0.57176,0.9474,17.93,0.0186,29.98,3.88,0.488,0.506,0.093,0.0104,0.0500
14475,-34.29401,-19.00630,-15.28771,-6.49299,-8.21038,-0.58434,0.9454,17.80,0.0185,29.97,3.91,0.488,0.506,0.093,0.0104,0.0500
14500,-34.33468,-19.05602,-15.27866,-6.50648,-8.20426,-0.56793,0.9474,18.26,0.0189,29.82,3.83,0.488,0.506,0.093,0.0104,0.0500
14525,-34.29753,-19.05016,-15.24737,-6.49747,-8.16474,-0.58516,0.9461,18.49,0.0192,29.89,3.99,0.488,0.506,0.093,0.0104,0.0500
14550,-34.39024,-19.11320,-15.27704,-6.50756,-8.20060,-0.56888,0.9475,18.55,0.0192,29.91,4.02,0.488,0.506,0.093,0.0104,0.0500
14575,-34.33448,-19.03956,-15.29491,-6.50698,-8.21274,-0.57519,0.9474,18.36,0.0190,29.33,4.34,0.488,0.506,0.093,0.0104,0.0500
14600,-34.28921,-19.03542,-15.25379,-6.48442,-8.17155,-0.59782,0.9442,18.24,0.0189,29.51,4.16,0.488,0.506,0.093,0.0104,0.0500
14625,-34.35143,-19.08393,-15.26751,-6.51852,-8.19415,-0.55484,0.9491,18.24,0.0189,29.45,3.55,0.488,0.506,0.093,0.0104,0.0500
14650,-34.24246,-19.02663,-15.21584,-6.51393,-8.13695,-0.56496,0.9484,18.22,0.0189,29.44,3.08,0.488,0.506,0.093,0.0104,0.0500
14675,-34.24913,-19.01828,-15.23085,-6.50743,-8.15735,-0.56607,0.9475,18.24,0.0189,29.49,3.09,0.488,0.506,0.093,0.0104,0.0500
14700,-34.23323,-18.96997,-15.26326,-6.50263,-8.19265,-0.56798,0.9468,18.27,0.0189,29.41,3.06,0.488,0.506,0.093,0.0104,0.0500
14725,-34.16325,-18.91889,-15.24435,-6.48312,-8.19110,-0.57013,0.9440,18.07,0.0187,29.23,3.50,0.488,0.506,0.093,0.0104,0.0500
14750,-34.15070,-18.91527,-15.23543,-6.50864,-8.16794,-0.55885,0.9477,17.93,0.0186,29.23,3.14,0.488,0.506,0.093,0.0104,0.0500
14775,-34.21493,-18.97728,-15.23765,-6.48887,-8.17245,-0.57633,0.9448,17.79,0.0184,29.55,2.36,0.488,0.506,0.093,0.0104,0.0500
14800,-34.29299,-18.98555,-15.30744,-6.52252,-8.22349,-0.56143,0.9497,17.75,0.0184,29.47,3.12,0.488,0.506,0.093,0.0104,0.0500
14825,-34.25949,-19.00588,-15.25361,-6.51616,-8.16877,-0.56869,0.9488,17.70,0.0184,29.58,2.19,0.488,0.506,0.093,0.0104,0.0500
14850,-34.28643,-19.06822,-15.21821,-6.49405,-8.15286,-0.57130,0.9456,17.57,0.0182,29.44,2.65,0.488,0.506,0.093,0.0104,0.0500
14875,-34.29492,-19.03104,-15.26388,-6.50958,-8.17908,-0.57522,0.9478,17.58,0.0182,29.27,3.18,0.488,0.506,0.093,0.0104,0.0500
14900,-34.30423,-19.02814,-15.27609,-6.52142,-8.18123,-0.57344,0.9495,17.73,0.0184,29.28,3.37,0.488,0.506,0.093,0.0104,0.0500
14925,-34.31831,-19.03194,-15.28637,-6.51225,-8.21749,-0.55663,0.9482,18.02,0.0187,29.46,2.69,0.488,0.506,0.093,0.0104,0.0500
14950,-34.33645,-19.04837,-15.28808,-6.51193,-8.21598,-0.56017,0.9482,-71.97,-0.0746,29.53,2.34,0.488,0.506,0.093,0.0104,0.0500
14975,-34.39462,-19.11627,-15.27835,-6.51066,-8.18240,-0.58529,0.9480,-71.97,-0.0746,29.90,2.10,0.488,0.506,0.093,0.0104,0.0500
15000,-34.30911,-19.04413,-15.26499,-6.49160,-8.18952,-0.58386,0.9452,17.89,0.0185,30.16,1.56,0.488,0.506,0.088,0.0099,0.0500
15025,-34.36009,-19.06580,-15.29429,-6.50262,-8.20608,-0.58560,0.9468,17.77,0.0184,30.16,1.56,0.488,0.506,0.088,0.0099,0.0500
15050,-34.33564,-19.07263,-15.26301,-6.52941,-8.17663,-0.55697,0.9507,18.01,0.0187,30.24,1.67,0.488,0.506,0.088,0.0099,0.0500
15075,-34.34088,-19.06988,-15.27100,-6.48594,-8.20668,-0.57838,0.9444,18.09,0.0188,30.10,1.82,0.488,0.506,0.088,0.0099,0.0500
15100,-34.31686,-19.05740,-15.25946,-6.49881,-8.17982,-0.58082,0.9462,18.00,0.0187,30.19,1.61,0.488,0.506,0.088,0.0099,0.0500
