cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
23100,-49.67514,-30.07562,-19.59952,-6.51621,-12.57333,-0.50999,0.9488,18.60,0.0193,29.72,1.09,0.490,0.501,0.059,0.0066,0.0500
23125,-49.67893,-30.03876,-19.64017,-6.52795,-12.59701,-0.51521,0.9505,18.61,0.0193,29.59,1.52,0.490,0.501,0.059,0.0066,0.0500
23150,-49.65106,-30.06171,-19.58935,-6.50731,-12.54667,-0.53537,0.9475,18.75,0.0194,29.63,1.59,0.490,0.501,0.059,0.0066,0.0500
23175,-49.61301,-29.98587,-19.62713,-6.50339,-12.60056,-0.52319,0.9469,18.72,0.0194,29.63,1.59,0.490,0.501,0.059,0.0066,0.0500
23200,-49.61369,-30.00050,-19.61318,-6.49895,-12.58323,-0.53100,0.9463,18.74,0.0194,29.60,1.52,0.490,0.501,0.059,0.0066,0.0500
23225,-49.68271,-30.04934,-19.63336,-6.48718,-12.62577,-0.52042,0.9446,18.60,0.0193,29.97,1.84,0.490,0.501,0.059,0.0066,0.0500
23250,-49.67716,-30.04678,-19.63038,-6.50334,-12.62532,-0.50172,0.9469,18.61,0.0193,29.97,1.83,0.490,0.501,0.059,0.0066,0.0500
23275,-49.63134,-30.01882,-19.61252,-6.51351,-12.59219,-0.50681,0.9484,18.73,0.0194,29.98,1.83,0.490,0.501,0.059,0.0066,0.0500
23300,-49.57906,-30.00970,-19.56936,-6.49798,-12.55453,-0.51685,0.9461,18.67,0.0193,29.82,1.79,0.490,0.501,0.059,0.0066,0.0500
23325,-49.63028,-30.02239,-19.60789,-6.48851,-12.59211,-0.52727,0.9447,18.60,0.0193,29.64,2.15,0.490,0.501,0.059,0.0066,0.0500
23350,-49.63595,-30.02374,-19.61221,-6.51346,-12.58254,-0.51621,0.9484,18.54,0.0192,29.89,2.16,0.490,0.501,0.059,0.0066,0.0500
23375,-49.67784,-30.06881,-19.60903,-6.49367,-12.58876,-0.52660,0.9455,18.56,0.0192,29.76,2.13,0.490,0.501,0.059,0.0066,0.0500
23400,-49.60379,-30.02369,-19.58010,-6.51213,-12.54602,-0.52195,0.9482,18.70,0.0194,30.13,1.94,0.490,0.501,0.059,0.0066,0.0500
23425,-49.69432,-30.07180,-19.62252,-6.50553,-12.58413,-0.53285,0.9472,18.77,0.0194,29.82,1.63,0.490,0.501,0.059,0.0066,0.0500
23450,-49.65617,-30.07982,-19.57635,-6.50932,-12.56358,-0.50345,0.9478,18.70,0.0194,29.85,1.68,0.490,0.501,0.059,0.0066,0.0500
23475,-49.70790,-30.09269,-19.61521,-6.49532,-12.59675,-0.52313,0.9457,18.70,0.0194,30.11,1.94,0.490,0.501,0.059,0.0066,0.0500
23499,-49.70376,-30.10453,-19.59923,-6.50425,-12.57346,-0.52152,0.9470,18.78,0.0195,29.93,2.30,0.490,0.501,0.059,0.0066,0.0500
