cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
10050,-41.12392,-21.19819,-19.92574,-6.58038,-12.85225,-0.49311,0.9581,24.78,0.0192,41.46,3.58,0.475,0.498,0.084,0.0095,0.0500
10075,-41.14281,-21.18120,-19.96161,-6.58115,-12.87765,-0.50281,0.9582,24.94,0.0193,41.29,3.83,0.475,0.498,0.084,0.0095,0.0500
10100,-41.18953,-21.18126,-20.00827,-6.60052,-12.92132,-0.48643,0.9611,24.63,0.0191,41.49,3.71,0.475,0.498,0.084,0.0095,0.0500
10125,-41.15541,-21.22250,-19.93291,-6.59917,-12.85048,-0.48326,0.9609,24.96,0.0193,41.68,3.42,0.475,0.498,0.084,0.0095,0.0500
10150,-41.17297,-21.18512,-19.98786,-6.58993,-12.91677,-0.48115,0.9595,25.35,0.0196,41.79,3.31,0.475,0.498,0.084,0.0095,0.0500
10175,-41.17116,-21.19103,-19.98014,-6.60166,-12.89709,-0.48139,0.9612,25.15,0.0195,41.59,3.61,0.475,0.498,0.084,0.0095,0.0500
10200,-41.22485,-21.23074,-19.99410,-6.58967,-12.92568,-0.47876,0.9595,115.02,0.0891,41.48,3.84,0.475,0.498,0.084,0.0095,0.0500
10225,-41.17745,-21.24744,-19.93001,-6.57878,-12.85749,-0.49374,0.9579,114.97,0.0891,41.69,3.34,0.475,0.498,0.084,0.0095,0.0500
10250,-41.20837,-21.23317,-19.97519,-6.59860,-12.89652,-0.48007,0.9608,115.13,0.0892,41.37,3.70,0.475,0.498,0.084,0.0095,0.0500
10275,-41.17666,-21.23911,-19.93755,-6.57195,-12.86311,-0.50249,0.9569,115.17,0.0892,41.93,3.13,0.475,0.498,0.084,0.0095,0.0500
10300,-41.15812,-21.20358,-19.95454,-6.59258,-12.87888,-0.48307,0.9599,114.94,0.0890,42.03,3.14,0.476,0.498,0.084,0.0095,0.0500
10325,-41.20194,-21.23365,-19.96828,-6.58826,-12.89286,-0.48716,0.9593,115.08,0.0891,41.76,3.13,0.476,0.498,0.084,0.0095,0.0500
10350,-41.14363,-21.19014,-19.95350,-6.59045,-12.87489,-0.48815,0.9596,115.13,0.0892,41.71,3.00,0.476,0.498,0.084,0.0095,0.0500
10375,-41.20126,-21.21612,-19.98514,-6.59736,-12.90149,-0.48630,0.9606,115.12,0.0892,41.40,3.30,0.476,0.498,0.084,0.0095,0.0500
10400,-41.11635,-21.14463,-19.97172,-6.59015,-12.89131,-0.49027,0.9595,114.96,0.0890,41.54,3.09,0.476,0.498,0.084,0.0095,0.0500
10425,-41.22445,-21.23765,-19.98681,-6.59322,-12.89775,-0.49583,0.9600,114.91,0.0890,41.46,3.50,0.476,0.498,0.084,0.0095,0.0500
10450,-41.26847,-21.25856,-20.00991,-6.60769,-12.92560,-0.47662,0.9621,114.88,0.0890,41.37,3.75,0.476,0.498,0.084,0.0095,0.0500
10475,-41.18427,-21.19939,-19.98487,-6.59506,-12.89526,-0.49455,0.9603,114.79,0.0889,41.01,3.81,0.476,0.498,0.084,0.0095,0.0500
10500,-41.21661,-21.26702,-19.94960,-6.60705,-12.85618,-0.48637,0.9620,115.03,0.0891,41.24,3.77,0.476,0.498,0.084,0.0095,0.0500
10525,-41.27137,-21.25733,-20.01405,-6.61475,-12.91333,-0.48597,0.9631,114.92,0.0890,41.31,3.73,0.476,0.498,0.084,0.0095,0.0500
10550,-41.19998,-21.22312,-19.97685,-6.59033,-12.88744,-0.49908,0.9596,114.96,0.0891,41.50,3.22,0.476,0.498,0.084,0.0095,0.0500
10575,-41.24498,-21.26649,-19.97849,-6.60210,-12.89633,-0.48006,0.9613,115.04,0.0891,41.45,3.20,0.476,0.498,0.084,0.0095,0.0500
10600,-41.26186,-21.31620,-19.94566,-6.59464,-12.85733,-0.49368,0.9602,25.02,0.0194,41.88,2.65,0.476,0.498,0.084,0.0095,0.0500
10625,-41.23013,-21.29573,-19.93440,-6.59408,-12.85267,-0.48765,0.9601,24.88,0.0193,41.56,3.18,0.476,0.498,0.084,0.0095,0.0500
10650,-41.31474,-21.35218,-19.96256,-6.58404,-12.88824,-0.49028,0.9587,114.88,0.0890,41.28,3.36,0.476,0.498,0.084,0.0095,0.0500
10675,-41.24355,-21.26771,-19.97584,-6.59764,-12.88424,-0.49397,0.9606,114.60,0.0888,40.82,3.78,0.476,0.498,0.084,0.0095,0.0500
10700,-41.29601,-21.30780,-19.98821,-6.60892,-12.88652,-0.49277,0.9623,114.48,0.0887,41.37,3.46,0.476,0.498,0.084,0.0095,0.0500
10725,-41.31486,-21.38344,-19.93142,-6.58541,-12.86006,-0.48595,0.9589,114.48,0.0887,41.12,3.43,0.476,0.498,0.084,0.0095,0.0500
10750,-41.28085,-21.30840,-19.97246,-6.60631,-12.88629,-0.47985,0.9619,114.53,0.0887,41.48,3.22,0.476,0.498,0.084,0.0095,0.0500
10775,-41.28406,-21.27445,-20.00960,-6.60066,-12.93175,-0.47720,0.9611,114.56,0.0887,41.44,3.35,0.476,0.498,0.084,0.0095,0.0500
10800,-41.35551,-21.38288,-19.97263,-6.60083,-12.87844,-0.49336,0.9611,114.52,0.0887,40.99,3.66,0.476,0.498,0.084,0.0095,0.0500
10825,-41.33971,-21.39447,-19.94524,-6.57021,-12.87931,-0.49572,0.9566,24.74,0.0192,41.72,2.48,0.476,0.498,0.084,0.0095,0.0500
10850,-41.32921,-21.37431,-19.95490,-6.59983,-12.86778,-0.48728,0.9610,114.90,0.0890,41.48,2.77,0.476,0.498,0.084,0.0095,0.0500
10875,-41.32052,-21.33578,-19.98473,-6.58830,-12.90204,-0.49439,0.9593,115.01,0.0891,41.54,2.88,0.476,0.498,0.084,0.0095,0.0500
10900,-41.34447,-21.40388,-19.94059,-6.58653,-12.84952,-0.50455,0.9590,115.10,0.0892,41.51,2.99,0.476,0.498,0.084,0.0095,0.0500
10925,-41.31920,-21.35586,-19.96334,-6.57388,-12.88461,-0.50485,0.9572,114.92,0.0890,42.01,2.96,0.476,0.498,0.084,0.0095,0.0500
10950,-41.31811,-21.33763,-19.98048,-6.57524,-12.92593,-0.47930,0.9574,114.95,0.0891,42.08,2.68,0.476,0.498,0.084,0.0095,0.0500
10975,-41.42267,-21.43136,-19.99130,-6.59109,-12.90704,-0.49317,0.9597,115.06,0.0891,41.71,3.25,0.476,0.498,0.084,0.0095,0.0500
11000,-41.32995,-21.36873,-19.96122,-6.58332,-12.88661,-0.49130,0.9586,115.11,0.0892,41.81,3.16,0.477,0.498,0.080,0.0090,0.0500
11025,-41.37621,-21.41902,-19.95719,-6.58913,-12.88843,-0.47963,0.9594,115.10,0.0892,41.71,3.26,0.477,0.498,0.080,0.0090,0.0500
11050,-41.37227,-21.38659,-19.98568,-6.58293,-12.91440,-0.48835,0.9585,115.32,0.0893,41.86,3.16,0.477,0.498,0.080,0.0090,0.0500
11075,-41.42991,-21.45290,-19.97701,-6.60381,-12.89092,-0.48229,0.9615,25.33,0.0196,41.32,3.72,0.477,0.498,0.080,0.0090,0.0500
11100,-41.46927,-21.46467,-20.00460,-6.57904,-12.93429,-0.49128,0.9579,115.48,0.0895,41.70,3.27,0.477,0.498,0.080,0.0090,0.0500
11125,-41.31857,-21.39843,-19.92015,-6.57638,-12.83967,-0.50410,0.9575,25.59,0.0198,41.27,3.59,0.477,0.498,0.080,0.0090,0.0500
11150,-41.37343,-21.37452,-19.99891,-6.60288,-12.90957,-0.48647,0.9614,115.48,0.0895,41.50,3.43,0.477,0.498,0.080,0.0090,0.0500
11175,-41.42421,-21.41966,-20.00455,-6.60145,-12.91838,-0.48472,0.9612,115.49,0.0895,41.57,3.25,0.477,0.498,0.080,0.0090,0.0500
